federal_provider_number,provider_name,provider_address,provider_city,provider_state,provider_zip_code,survey_date,survey_type,deficiency_prefix,deficiency_category,deficiency_tag_number,deficiency_description,scope_severity_code,deficiency_corrected,correction_date,inspection_cycle,standard_deficiency,complaint_deficiency,infection_control_inspection_deficiency,location,processing_date
335297,THE GRAND PAVILION FOR RHB & NRSG AT ROCKVILLE CTR,41 MAINE AVENUE,ROCKVILLE CENTRE,NY,11570,2021-06-11,Health,F,Quality of Life and Care Deficiencies,0695,Provide safe and appropriate respiratory care for a resident when needed.,D,"Deficient, Provider has date of correction",2021-08-10,1,Y,N,N,"41 MAINE AVENUE,ROCKVILLE CENTRE,NY,11570",2022-01-01
335297,THE GRAND PAVILION FOR RHB & NRSG AT ROCKVILLE CTR,41 MAINE AVENUE,ROCKVILLE CENTRE,NY,11570,2021-06-11,Health,F,Nursing and Physician Services Deficiencies,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",D,"Deficient, Provider has date of correction",2021-08-10,1,Y,N,N,"41 MAINE AVENUE,ROCKVILLE CENTRE,NY,11570",2022-01-01
335297,THE GRAND PAVILION FOR RHB & NRSG AT ROCKVILLE CTR,41 MAINE AVENUE,ROCKVILLE CENTRE,NY,11570,2019-02-26,Health,F,Nutrition and Dietary Deficiencies,0812,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",D,"Deficient, Provider has date of correction",2019-03-07,2,Y,N,N,"41 MAINE AVENUE,ROCKVILLE CENTRE,NY,11570",2022-01-01
335297,THE GRAND PAVILION FOR RHB & NRSG AT ROCKVILLE CTR,41 MAINE AVENUE,ROCKVILLE CENTRE,NY,11570,2017-09-05,Health,F,Resident Assessment and Care Planning Deficiencies,0272,Conduct initial and periodic assessments of each resident's functional capacity.,D,"Deficient, Provider has date of correction",2017-10-10,3,Y,N,N,"41 MAINE AVENUE,ROCKVILLE CENTRE,NY,11570",2022-01-01
335297,THE GRAND PAVILION FOR RHB & NRSG AT ROCKVILLE CTR,41 MAINE AVENUE,ROCKVILLE CENTRE,NY,11570,2017-09-05,Health,F,Environmental Deficiencies,0441,"Have a program that investigates, controls and keeps infection from spreading.",D,"Deficient, Provider has date of correction",2017-10-10,3,Y,N,N,"41 MAINE AVENUE,ROCKVILLE CENTRE,NY,11570",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2021-07-13,Health,F,Resident Assessment and Care Planning Deficiencies,0656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2021-09-08,1,Y,N,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2021-07-13,Health,F,Resident Assessment and Care Planning Deficiencies,0657,"Develop the complete care plan within 7 days of the comprehensive assessment; and prepared, reviewed, and revised by a team of health professionals.",D,"Deficient, Provider has date of correction",2021-09-08,1,Y,N,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2021-07-13,Health,F,Quality of Life and Care Deficiencies,0684,"Provide appropriate treatment and care according to orders, resident’s preferences and goals.",D,"Deficient, Provider has date of correction",2021-09-08,1,Y,N,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2021-07-13,Health,F,Quality of Life and Care Deficiencies,0689,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,D,"Deficient, Provider has date of correction",2021-09-08,1,Y,N,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2021-07-13,Health,F,Nutrition and Dietary Deficiencies,0812,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",E,"Deficient, Provider has date of correction",2021-09-08,1,Y,N,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2021-07-13,Health,F,Environmental Deficiencies,0908,Keep all essential equipment working safely.,E,"Deficient, Provider has date of correction",2021-09-08,1,Y,N,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2021-07-13,Health,F,Resident Rights Deficiencies,0561,Honor the resident's right to and the facility must promote and facilitate resident self-determination through support of resident choice.,D,"Deficient, Provider has date of correction",2021-09-08,1,Y,Y,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2021-07-13,Health,F,Resident Rights Deficiencies,0580,"Immediately tell the resident, the resident's doctor, and a family member of situations (injury/decline/room, etc.)  that affect the resident.",D,"Deficient, Provider has date of correction",2021-09-08,1,Y,Y,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2021-07-13,Health,F,Quality of Life and Care Deficiencies,0686,Provide appropriate pressure ulcer care and prevent new ulcers from developing.,D,"Deficient, Provider has date of correction",2021-09-08,1,Y,Y,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2021-07-13,Health,F,Nursing and Physician Services Deficiencies,0726,Ensure that nurses and nurse aides have the appropriate competencies to care for every resident in a way that maximizes each resident's well being.,D,"Deficient, Provider has date of correction",2021-09-08,1,Y,Y,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2020-07-27,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2020-08-04,2,N,Y,Y,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2019-03-19,Health,F,Resident Rights Deficiencies,0584,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",D,"Deficient, Provider has date of correction",2019-04-29,2,Y,N,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2019-03-19,Health,F,Resident Assessment and Care Planning Deficiencies,0657,"Develop the complete care plan within 7 days of the comprehensive assessment; and prepared, reviewed, and revised by a team of health professionals.",D,"Deficient, Provider has date of correction",2019-04-29,2,Y,N,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2019-03-19,Health,F,Quality of Life and Care Deficiencies,0679,Provide activities to meet all resident's needs.,D,"Deficient, Provider has date of correction",2019-04-29,2,Y,N,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2019-03-19,Health,F,Quality of Life and Care Deficiencies,0686,Provide appropriate pressure ulcer care and prevent new ulcers from developing.,D,"Deficient, Provider has date of correction",2019-04-29,2,Y,N,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2019-03-19,Health,F,Nutrition and Dietary Deficiencies,0804,"Ensure food and drink is palatable, attractive, and at a safe and appetizing temperature.",D,"Deficient, Provider has date of correction",2019-04-30,2,Y,N,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2019-11-15,Health,F,Pharmacy Service Deficiencies,0760,Ensure that residents are free from significant medication errors.,D,"Deficient, Provider has date of correction",2019-12-31,3,N,Y,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2019-07-17,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0604,"Ensure that each resident is free from the use of physical restraints, unless needed for medical treatment.",D,"Deficient, Provider has date of correction",2019-09-07,3,N,Y,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2019-07-17,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0610,Respond appropriately to all alleged violations.,D,"Deficient, Provider has date of correction",2019-09-07,3,N,Y,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2019-05-06,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2019-06-14,3,N,Y,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2017-09-22,Health,F,Resident Assessment and Care Planning Deficiencies,0279,"Develop a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2017-11-09,3,Y,N,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2017-09-22,Health,F,Resident Assessment and Care Planning Deficiencies,0280,Allow residents the right to participate in the planning or revision of care and treatment.,D,"Deficient, Provider has date of correction",2017-11-09,3,Y,N,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2017-09-22,Health,F,Quality of Life and Care Deficiencies,0282,Provide care by qualified persons according to each resident's written plan of care.,D,"Deficient, Provider has date of correction",2017-11-09,3,Y,N,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335432,LONG BEACH NURSING AND REHABILITATION CENTER,375 EAST BAY DRIVE,LONG BEACH,NY,11561,2017-09-22,Health,F,Environmental Deficiencies,0441,"Have a program that investigates, controls and keeps infection from spreading.",D,"Deficient, Provider has date of correction",2017-11-09,3,Y,N,N,"375 EAST BAY DRIVE,LONG BEACH,NY,11561",2022-01-01
335498,GRANDELL REHABILITATION AND NURSING CENTER,645 W BROADWAY,LONG BEACH,NY,11561,2019-07-24,Health,F,Resident Assessment and Care Planning Deficiencies,0641,Ensure each resident receives an accurate assessment.,B,"Deficient, Provider has date of correction",2019-08-29,1,Y,N,N,"645 W BROADWAY,LONG BEACH,NY,11561",2022-01-01
335498,GRANDELL REHABILITATION AND NURSING CENTER,645 W BROADWAY,LONG BEACH,NY,11561,2019-07-24,Health,F,Resident Assessment and Care Planning Deficiencies,0656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2019-08-29,1,Y,N,N,"645 W BROADWAY,LONG BEACH,NY,11561",2022-01-01
335498,GRANDELL REHABILITATION AND NURSING CENTER,645 W BROADWAY,LONG BEACH,NY,11561,2019-07-24,Health,F,Resident Assessment and Care Planning Deficiencies,0842,Safeguard resident-identifiable information and/or maintain medical records on each resident that are in accordance with accepted professional standards.,B,"Deficient, Provider has date of correction",2019-08-29,1,Y,N,N,"645 W BROADWAY,LONG BEACH,NY,11561",2022-01-01
335498,GRANDELL REHABILITATION AND NURSING CENTER,645 W BROADWAY,LONG BEACH,NY,11561,2018-03-15,Health,F,Resident Rights Deficiencies,0583,Keep residents' personal and medical records private and confidential.,D,"Deficient, Provider has date of correction",2018-04-25,2,Y,N,N,"645 W BROADWAY,LONG BEACH,NY,11561",2022-01-01
335498,GRANDELL REHABILITATION AND NURSING CENTER,645 W BROADWAY,LONG BEACH,NY,11561,2018-03-15,Health,F,Resident Assessment and Care Planning Deficiencies,0641,Ensure each resident receives an accurate assessment.,D,"Deficient, Provider has date of correction",2018-04-25,2,Y,N,N,"645 W BROADWAY,LONG BEACH,NY,11561",2022-01-01
335498,GRANDELL REHABILITATION AND NURSING CENTER,645 W BROADWAY,LONG BEACH,NY,11561,2018-03-15,Health,F,Resident Assessment and Care Planning Deficiencies,0656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2018-04-25,2,Y,N,N,"645 W BROADWAY,LONG BEACH,NY,11561",2022-01-01
335498,GRANDELL REHABILITATION AND NURSING CENTER,645 W BROADWAY,LONG BEACH,NY,11561,2018-03-15,Health,F,Resident Assessment and Care Planning Deficiencies,0659,Provide care by qualified persons according to each resident's written plan of care.,D,"Deficient, Provider has date of correction",2018-04-25,2,Y,N,N,"645 W BROADWAY,LONG BEACH,NY,11561",2022-01-01
335559,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2019-11-05,Health,F,Resident Assessment and Care Planning Deficiencies,0640,Encode each resident’s assessment data and transmit these data to the State within 7 days of assessment.,B,"Deficient, Provider has date of correction",2019-12-19,1,Y,N,N,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",2022-01-01
335559,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2019-11-05,Health,F,Resident Assessment and Care Planning Deficiencies,0656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2019-12-19,1,Y,N,N,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",2022-01-01
335559,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2019-11-05,Health,F,Resident Assessment and Care Planning Deficiencies,0657,"Develop the complete care plan within 7 days of the comprehensive assessment; and prepared, reviewed, and revised by a team of health professionals.",D,"Deficient, Provider has date of correction",2019-12-19,1,Y,N,N,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",2022-01-01
335559,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2019-11-05,Health,F,Quality of Life and Care Deficiencies,0692,Provide enough food/fluids to maintain a resident's health.,D,"Deficient, Provider has date of correction",2019-12-19,1,Y,N,N,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",2022-01-01
335559,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2019-11-05,Health,F,Nursing and Physician Services Deficiencies,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",D,"Deficient, Provider has date of correction",2019-12-19,1,Y,N,N,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",2022-01-01
335559,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2019-11-05,Health,F,Pharmacy Service Deficiencies,0756,"Ensure a licensed pharmacist perform a monthly drug regimen review, including the medical chart, following irregularity reporting guidelines in developed policies and procedures.",D,"Deficient, Provider has date of correction",2019-12-19,1,Y,N,N,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",2022-01-01
335559,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2019-11-05,Health,F,Pharmacy Service Deficiencies,0761,"Ensure drugs and biologicals used in the facility are labeled in accordance with currently accepted professional principles; and all drugs and biologicals must be stored in locked compartments, separately locked, compartments for controlled drugs.",D,"Deficient, Provider has date of correction",2019-12-19,1,Y,N,N,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",2022-01-01
335559,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2019-11-05,Health,F,Nutrition and Dietary Deficiencies,0813,Have a policy regarding use and storage of foods brought to residents by family and other visitors.,C,"Deficient, Provider has date of correction",2019-12-19,1,Y,N,N,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",2022-01-01
335559,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2019-11-05,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2019-12-19,1,Y,N,N,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",2022-01-01
335559,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2018-07-06,Health,F,Resident Assessment and Care Planning Deficiencies,0657,"Develop the complete care plan within 7 days of the comprehensive assessment; and prepared, reviewed, and revised by a team of health professionals.",D,"Deficient, Provider has date of correction",2018-08-24,2,Y,N,N,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",2022-01-01
335559,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2019-07-15,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0600,"Protect each resident from all types of abuse such as physical, mental, sexual abuse, physical punishment, and neglect by anybody.",D,"Deficient, Provider has date of correction",2019-09-02,3,N,Y,N,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",2022-01-01
335559,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2017-02-28,Health,F,Resident Rights Deficiencies,0241,Provide care for residents in a way that maintains or improves their dignity and respect in full recognition of their individuality.,D,"Deficient, Provider has date of correction",2017-04-25,3,Y,N,N,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",2022-01-01
335559,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2017-02-28,Health,F,Resident Assessment and Care Planning Deficiencies,0279,"Develop a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2017-04-25,3,Y,N,N,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",2022-01-01
335559,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2017-02-28,Health,F,Resident Assessment and Care Planning Deficiencies,0280,Allow residents the right to participate in the planning or revision of care and treatment.,D,"Deficient, Provider has date of correction",2017-04-25,3,Y,N,N,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",2022-01-01
335559,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2017-02-28,Health,F,Environmental Deficiencies,0323,Ensure that a nursing home area is free from accident hazards and provide adequate supervision to prevent avoidable accidents.,D,"Deficient, Provider has date of correction",2017-04-25,3,Y,N,N,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",2022-01-01
335559,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2017-02-28,Health,F,Pharmacy Service Deficiencies,0329,Ensure that each resident's 1) entire drug/medication regimen is free from unnecessary drugs; and 2) is managed and monitored to achieve highest level of well-being.,D,"Deficient, Provider has date of correction",2017-04-25,3,Y,N,N,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",2022-01-01
335559,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2017-02-28,Health,F,Pharmacy Service Deficiencies,0428,"At least once a month, have a licensed pharmacist review each resident's medication(s) and report any irregularities to the attending doctor.",D,"Deficient, Provider has date of correction",2017-04-25,3,Y,N,N,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",2022-01-01
335559,SUNHARBOR MANOR,255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577,2017-02-28,Health,F,Environmental Deficiencies,0441,"Have a program that investigates, controls and keeps infection from spreading.",D,"Deficient, Provider has date of correction",2017-04-25,3,Y,N,N,"255 WARNER AVENUE,ROSLYN HEIGHTS,NY,11577",2022-01-01
335700,NORTH SHORE - L I J ORZAC CTR FOR REHABILITATION,900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580,2019-09-03,Health,F,Resident Rights Deficiencies,0550,"Honor the resident's right to a dignified existence, self-determination, communication, and to exercise his or her rights.",D,"Deficient, Provider has date of correction",2019-11-01,1,Y,N,N,"900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580",2022-01-01
335700,NORTH SHORE - L I J ORZAC CTR FOR REHABILITATION,900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580,2019-09-03,Health,F,Resident Rights Deficiencies,0578,"Honor the resident's right to request, refuse, and/or discontinue treatment, to participate in or refuse to participate in experimental research, and to formulate an advance directive.",D,"Deficient, Provider has date of correction",2019-11-01,1,Y,N,N,"900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580",2022-01-01
335700,NORTH SHORE - L I J ORZAC CTR FOR REHABILITATION,900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580,2019-09-03,Health,F,Resident Assessment and Care Planning Deficiencies,0656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2019-11-01,1,Y,N,N,"900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580",2022-01-01
335700,NORTH SHORE - L I J ORZAC CTR FOR REHABILITATION,900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580,2019-09-03,Health,F,Quality of Life and Care Deficiencies,0676,Ensure residents do not lose the ability to perform activities of daily living unless there is a medical reason.,D,"Deficient, Provider has date of correction",2019-11-01,1,Y,N,N,"900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580",2022-01-01
335700,NORTH SHORE - L I J ORZAC CTR FOR REHABILITATION,900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580,2019-09-03,Health,F,Quality of Life and Care Deficiencies,0677,Provide care and assistance to perform activities of daily living for any resident who is unable.,E,"Deficient, Provider has date of correction",2019-11-01,1,Y,N,N,"900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580",2022-01-01
335700,NORTH SHORE - L I J ORZAC CTR FOR REHABILITATION,900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580,2019-09-03,Health,F,Quality of Life and Care Deficiencies,0679,Provide activities to meet all resident's needs.,D,"Deficient, Provider has date of correction",2019-11-01,1,Y,N,N,"900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580",2022-01-01
335700,NORTH SHORE - L I J ORZAC CTR FOR REHABILITATION,900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580,2019-09-03,Health,F,Quality of Life and Care Deficiencies,0684,"Provide appropriate treatment and care according to orders, resident’s preferences and goals.",D,"Deficient, Provider has date of correction",2019-11-01,1,Y,N,N,"900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580",2022-01-01
335700,NORTH SHORE - L I J ORZAC CTR FOR REHABILITATION,900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580,2019-09-03,Health,F,Pharmacy Service Deficiencies,0756,"Ensure a licensed pharmacist perform a monthly drug regimen review, including the medical chart, following irregularity reporting guidelines in developed policies and procedures.",D,"Deficient, Provider has date of correction",2019-11-01,1,Y,N,N,"900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580",2022-01-01
335700,NORTH SHORE - L I J ORZAC CTR FOR REHABILITATION,900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580,2019-09-03,Health,F,Resident Assessment and Care Planning Deficiencies,0842,Safeguard resident-identifiable information and/or maintain medical records on each resident that are in accordance with accepted professional standards.,B,"Deficient, Provider has date of correction",2019-11-01,1,Y,N,N,"900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580",2022-01-01
335700,NORTH SHORE - L I J ORZAC CTR FOR REHABILITATION,900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580,2020-11-18,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2021-01-01,2,N,N,Y,"900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580",2022-01-01
335700,NORTH SHORE - L I J ORZAC CTR FOR REHABILITATION,900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580,2018-05-25,Health,F,Resident Assessment and Care Planning Deficiencies,0656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2018-07-20,2,Y,N,N,"900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580",2022-01-01
335700,NORTH SHORE - L I J ORZAC CTR FOR REHABILITATION,900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580,2017-02-08,Health,F,Resident Assessment and Care Planning Deficiencies,0280,Allow residents the right to participate in the planning or revision of care and treatment.,D,"Deficient, Provider has date of correction",2017-03-31,3,Y,N,N,"900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580",2022-01-01
335700,NORTH SHORE - L I J ORZAC CTR FOR REHABILITATION,900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580,2017-02-08,Health,F,Quality of Life and Care Deficiencies,0282,Provide care by qualified persons according to each resident's written plan of care.,D,"Deficient, Provider has date of correction",2017-03-31,3,Y,N,N,"900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580",2022-01-01
335716,GLEN COVE CENTER FOR NURSING AND REHABILITATION,6 MEDICAL PLAZA,GLEN COVE,NY,11542,2019-12-20,Health,F,Resident Assessment and Care Planning Deficiencies,0657,"Develop the complete care plan within 7 days of the comprehensive assessment; and prepared, reviewed, and revised by a team of health professionals.",D,"Deficient, Provider has date of correction",2020-02-18,1,Y,N,N,"6 MEDICAL PLAZA,GLEN COVE,NY,11542",2022-01-01
335716,GLEN COVE CENTER FOR NURSING AND REHABILITATION,6 MEDICAL PLAZA,GLEN COVE,NY,11542,2019-12-20,Health,F,Quality of Life and Care Deficiencies,0692,Provide enough food/fluids to maintain a resident's health.,D,"Deficient, Provider has date of correction",2020-02-18,1,Y,N,N,"6 MEDICAL PLAZA,GLEN COVE,NY,11542",2022-01-01
335716,GLEN COVE CENTER FOR NURSING AND REHABILITATION,6 MEDICAL PLAZA,GLEN COVE,NY,11542,2018-09-14,Health,F,Resident Assessment and Care Planning Deficiencies,0655,Create and put into place a plan for meeting the resident's most immediate needs within 48 hours of being admitted,D,"Deficient, Provider has date of correction",2018-11-13,2,Y,N,N,"6 MEDICAL PLAZA,GLEN COVE,NY,11542",2022-01-01
335716,GLEN COVE CENTER FOR NURSING AND REHABILITATION,6 MEDICAL PLAZA,GLEN COVE,NY,11542,2018-09-14,Health,F,Resident Assessment and Care Planning Deficiencies,0656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2018-11-13,2,Y,N,N,"6 MEDICAL PLAZA,GLEN COVE,NY,11542",2022-01-01
